ProteinA	ProteinB	Methods	References
RAIDD	Caspase2	GST fusion protein pull-down;His fusion protein pull-down;In vitro purification protein assembly(Native gel-electrophoresis);In vitro purification protein assembly(Size-exclusion chromatography);Yeast two-hybrid;Co-Immunofluorescence staining;Co-immunoprecipitation;β-galactosidase staining;Trypan blue staining;TUNEL assay	9044836;8985253;20872280;15073321;11156409;10713730;11978827;16652156;18845684;19782032;22515271
RIG-1	NOD2	His Fusion protein pull-down;Co-Immunofluorescence staining;Co-immunoprecipitation;Reporter gene assay	21690088
RIG-1	Caspase12	Co-Immunofluorescence staining;GST fusion protein pull-down	20818395
RIG-1	MAVS	Co-immunoprecipitation;Fluorescence resonance energy transfer;ELISA;Luciferase assay	16127453;16177806;17020950;21419663;19036819
RIG-1	MDA5	Co-immunoprecipitation	22328336
RIPK2	Caspase1	GST fusion protein pull-down;Co-immunoprecipitation;Caspase cleaved assay;Reporter gene assay;Luciferase assay	11051551;9705938;11536016;15039421;16585594;21862576
RIPK2	CIAP1	GST fusion protein pull-down;Co-immunoprecipitation;β-galactosidase staining	19464198;21931591;9642260;9705938
RIPK2	CIAP2	GST fusion protein pull-down;Co-immunoprecipitation	19464198;21931591;9705938
RIPK2	NOD1	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;Luciferase assay;Reporter gene assay	22470564;10224040;19337385;10329646;11463746;12459189;17054981
RIPK2	NOD2	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;Luciferase assay;ELISA	22470564;19337385;11087742;15620648;18775659;19464198;22665475
RIPK2	ASC	Co-immunoprecipitation;Immunoprecipitation	14634131
RIPK2	Bcl-10	Co-immunoprecipitation;Luciferase assay	14638696
RIPK2	CARD16	Co-immunoprecipitation;Immunoprecipitation	11432859;11536016
RIPK2	CARD18	Co-immunoprecipitation	11536016
RIPK2	CARD6	Co-immunoprecipitation;Luciferase assay	12775719
RIPK2	CARD9	Co-immunoprecipitation;Western blotting	17486093
CARD17	CARD16	Co-immunoprecipitation	15383541
CARD17	CARD18	Co-immunoprecipitation	15383541
CARD17	Caspase1	Co-immunoprecipitation	15383541
CARD6	CARD8	Co-immunoprecipitation	12775719
CARD6	NLRP1	Co-immunoprecipitation	12775719
CARD6	NOD1	Co-immunoprecipitation;Luciferase assay	12775719
CARD6	RIPK2	Co-immunoprecipitation;Luciferase assay	12775719
CARMA1	Bcl-10	Co-immunoprecipitation	22880103
caspase1	ASC	Co-immunoprecipitation	12191486
Caspase12	Caspase1	Co-immunoprecipitation;Caspase cleaved assay	16625199;18332441
Caspase12	RIG-1	Co-Immunofluorescence staining;GST fusion protein pull-down	20818395
Caspase4	Apaf1	Co-immunoprecipitation	9539746
Caspase4	NLRP1	Co-immunoprecipitation	12191486
Caspase4	NOD1	Co-immunoprecipitation	10329646
Caspase5	NLRP1	Co-immunoprecipitation;Caspase cleaved assay;ELISA	12191486;17418785
MAVS	MDA5	Co-immunoprecipitation;ELISA	16127453
MAVS	RIG-1	Co-immunoprecipitation;Fluorescence resonance energy transfer;ELISA;Luciferase assay	16127453;16177806;17020950;21419663;19036819
MDA5	MAVS	Co-immunoprecipitation;ELISA	16127453
MDA5	RIG-1	Co-immunoprecipitation	22328336
NOL3	Caspase2	Co-immunoprecipitation	9560245
Caspase10	FADD	GST fusion protein pull-down;His fusion protein pull-down;Co-immunoprecipitation;Fluorescence resonance energy transfer;DAPI staining	12407100;9045686;11717445
Caspase10	FLIP	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;β-galactosidase staining	9228018;9208847;9211860;12887920
Caspase10	Caspase8	Co-immunoprecipitation;Fluorescence resonance energy transfer	12887920;17159907;11717445
Caspase10	DEDD2	Co-immunoprecipitation	12527898
Caspase8	DEDD	GST fusion protein pull-down;Co-immunoprecipitation	9774341;11965497;11741985
Caspase8	DEDD2	GST fusion protein pull-down;Co-immunoprecipitation	11965497;12527898
Caspase8	FADD	Fluorescence resonance energy transfer;GST fusion protein pull-down;His fusion protein pull-down;In vitro purification protein assembly(2D gel electrophoresis);Yeast two-hybrid;;Co-immunoprecipitation;β-galactosidase staining;DNA fragmentation assay;Propidium iodide staining;Hoechst staining;PARP cleaved assay;MTT assay;DAPI staining	11717445;12407100;8681377;9045686;12010809;8681376;10526240;15782135;21525013;9582077;11432804;12220669;12887920;15701651;17159907;18485876;19060883;19524512;20547836;22890322
Caspase8	FLIP	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;β-galactosidase staining;Confocal microscopy	9228018;9208847;9289491;9326610;9211860;9380701;12215447;12887920;17159907
Caspase8	Caspase10	Co-immunoprecipitation;Fluorescence resonance energy transfer	12887920;17159907;11717445
Caspase8	PEA15	Co-immunoprecipitation;PARP cleaved assay	10442631
DEDD	Caspase8	GST fusion protein pull-down;Co-immunoprecipitation	9774341;11965497;11741985
DEDD	DEDD2	GST fusion protein pull-down;Co-immunoprecipitation	11965497;12527898
DEDD	FADD	GST fusion protein pull-down;Co-immunoprecipitation;Data not shown	9774341;11741985
DEDD	FLIP	GST fusion protein pull-down	11965497;11741985
DEDD2	Caspase8	GST fusion protein pull-down;Co-immunoprecipitation	11965497;12527898
DEDD2	DEDD	GST fusion protein pull-down;Co-immunoprecipitation	11965497;12527898
DEDD2	FLIP	GST fusion protein pull-down;Co-Immunofluorescence staining;Co-immunoprecipitation	11741985;11965497
DEDD2	Caspase10	Co-immunoprecipitation	12527898
FADD	Caspase10	GST fusion protein pull-down;His fusion protein pull-down;Co-immunoprecipitation;Fluorescence resonance energy transfer;DAPI staining	12407100;9045686;11717445
FADD	Caspase8	Fluorescence resonance energy transfer;GST fusion protein pull-down;His fusion protein pull-down;In vitro purification protein assembly(2D gel electrophoresis);Yeast two-hybrid;;Co-immunoprecipitation;β-galactosidase staining;DNA fragmentation assay;Propidium iodide staining;Hoechst staining;PARP cleaved assay;MTT assay;DAPI staining	11717445;12407100;8681377;9045686;12010809;8681376;10526240;15782135;21525013;9582077;11432804;12220669;12887920;15701651;17159907;18485876;19060883;19524512;20547836;22890322
FADD	DEDD	GST fusion protein pull-down;Co-immunoprecipitation;Data not shown	9774341;11741985
FADD	FLIP	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;β-galactosidase staining;Annexin V staining;Confocal microscopy	9228018;12407100;9208847;9289491;9326610;11859150;12215447;12220669
FADD	PEA15	GST fusion protein pull-down;Co-immunoprecipitation;DAPI, Annexin V staining, TUNEL assay	10493725;10442631;22179576
FLIP	Caspase10	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;β-galactosidase staining	9228018;9208847;9211860;12887920
FLIP	Caspase8	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;β-galactosidase staining;Confocal microscopy	9228018;9208847;9289491;9326610;9211860;9380701;12215447;12887920;17159907
FLIP	DEDD	GST fusion protein pull-down	11965497;11741985
FLIP	DEDD2	GST fusion protein pull-down;Co-Immunofluorescence staining;Co-immunoprecipitation	11741985;11965497
FLIP	FADD	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;β-galactosidase staining;Annexin V staining;Confocal microscopy	9228018;12407100;9208847;9289491;9326610;11859150;12215447;12220669
PEA15	FADD	GST fusion protein pull-down;Co-immunoprecipitation;DAPI, Annexin V staining, TUNEL assay	10493725;10442631;22179576
PEA15	Caspase8	Co-immunoprecipitation;PARP cleaved assay	10442631
AIM2	ASC	GST fusion protein pull-down;Co-immunoprecipitation;Fluorescence resonance energy transfer;Luciferase assay;Caspase cleaved assay	19158676;19158675;21575908;22869553
ASC	AIM2	GST fusion protein pull-down;Co-immunoprecipitation;Fluorescence resonance energy transfer;Luciferase assay;Caspase cleaved assay	19158676;19158675;21575908;22869553
ASC	NLRP2	Co-immunoprecipitation;ELISA	15030775;15456791
ASC	NLRP3	Co-immunoprecipitation;GST fusion protein pull-down;Two-hybrid;Yeast two-hybrid;Co-Immunofluorescence staining;Fluorescence resonance energy transfer;Luciferase assay;Caspase cleaved assay	15030775;23066025;11786556;19337385;16037825;12615073;19158675;21575908;21994322;22361007
ASC	POP1	GST fusion protein pull-down;In vitro purification protein assembly(Surface plasmon resonance);Co-Immunofluorescence staining;Co-immunoprecipitation;Surface plasmon resonance;Luciferase assay	12656673;23066025;18362139;17178784
