entrez_gene_ida	entrez_gene_idb	gene_symbol_a	gene_symbol_b	screens_found
311	10342	ANXA11	TFG	1
311	55165	ANXA11	CEP55	2
318	4175	NUDT2	MCM6	2
327	327	APEH	APEH	1
327	3964	APEH	LGALS8	1
327	9798	APEH	IST1	2
329	842	BIRC2	CASP9	2
329	2670	BIRC2	GFAP	1
329	4828	BIRC2	NMB	2
329	51027	BIRC2	BOLA1	2
329	55093	BIRC2	WDYHV1	1
329	55840	BIRC2	EAF2	1
329	56915	BIRC2	EXOSC5	2
329	79444	BIRC2	BIRC7	1
329	79571	BIRC2	GCC1	1
329	80705	BIRC2	TSGA10	1
329	152926	BIRC2	PPM1K	2
331	842	XIAP	CASP9	1
331	843	XIAP	CASP10	1
331	1163	XIAP	CKS1B	1
331	2071	XIAP	ERCC3	1
331	5985	XIAP	RFC5	2
331	8767	XIAP	RIPK2	1
331	10783	XIAP	NEK6	1
331	55048	XIAP	VPS37C	2
331	91694	XIAP	LONRF1	2
331	117178	XIAP	SSX2IP	1
335	116173	APOA1	CMTM5	1
336	117144	APOA2	CATSPER1	1
347	9218	APOD	VAPA	2
356	7205	FASLG	TRIP6	1
356	8601	FASLG	RGS20	1
356	125115	FASLG	KRT40	1
356	388677	FASLG	NOTCH2NL	1
358	358	AQP1	AQP1	1
358	373	AQP1	TRIM23	1
358	2353	AQP1	FOS	1
358	3881	AQP1	KRT31	1
358	3884	AQP1	KRT33B	1
358	6477	AQP1	SIAH1	1
358	6925	AQP1	TCF4	2
358	7185	AQP1	TRAF1	1
358	7186	AQP1	TRAF2	1
358	7205	AQP1	TRIP6	2
358	8601	AQP1	RGS20	1
358	10188	AQP1	TNK2	1
358	10253	AQP1	SPRY2	1
358	11043	AQP1	MID2	1
358	22806	AQP1	IKZF3	1
358	22807	AQP1	IKZF2	1
358	23281	AQP1	MTUS2	1
358	26575	AQP1	RGS17	1
358	54793	AQP1	KCTD9	1
358	55118	AQP1	CRTAC1	1
358	64651	AQP1	CSRNP1	1
358	64753	AQP1	CCDC136	1
358	80817	AQP1	CEP44	1
358	83899	AQP1	KRTAP9-2	1
358	85291	AQP1	KRTAP4-2	1
358	85376	AQP1	RIMBP3	1
358	123722	AQP1	FSD2	1
358	125115	AQP1	KRT40	2
358	158405	AQP1	KIAA1958	2
358	284001	AQP1	CCDC57	1
358	285622	AQP1	NBPF22P	1
358	339834	AQP1	CCDC36	1
358	386675	AQP1	KRTAP10-7	1
358	386682	AQP1	KRTAP10-3	2
358	388677	AQP1	NOTCH2NL	2
362	3190	AQP5	HNRNPK	1
362	3881	AQP5	KRT31	1
362	125115	AQP5	KRT40	2
362	388677	AQP5	NOTCH2NL	2
366	89885	AQP9	FATE1	1
369	3845	ARAF	KRAS	1
369	57085	ARAF	AGTRAP	1
373	373	TRIM23	TRIM23	1
373	573	TRIM23	BAG1	1
373	1039	TRIM23	CDR2	1
373	1329	TRIM23	COX5B	2
373	1641	TRIM23	DCX	1
373	1794	TRIM23	DOCK2	1
373	2624	TRIM23	GATA2	1
373	3215	TRIM23	HOXB5	2
373	3801	TRIM23	KIFC3	1
373	3853	TRIM23	KRT6A	1
373	3964	TRIM23	LGALS8	1
373	4005	TRIM23	LMO2	1
373	5252	TRIM23	PHF1	1
373	5296	TRIM23	PIK3R2	1
373	5682	TRIM23	PSMA1	1
373	6477	TRIM23	SIAH1	1
373	6591	TRIM23	SNAI2	1
373	6615	TRIM23	SNAI1	1
373	6628	TRIM23	SNRPB	1
373	7114	TRIM23	TMSB4X	1
373	7128	TRIM23	TNFAIP3	2
373	7185	TRIM23	TRAF1	1
373	7329	TRIM23	UBE2I	2
373	7918	TRIM23	GPANK1	1
373	8502	TRIM23	PKP4	1
373	8859	TRIM23	STK19	1
373	9063	TRIM23	PIAS2	1
373	9547	TRIM23	CXCL14	1
373	9586	TRIM23	CREB5	2
373	9929	TRIM23	JOSD1	1
373	10024	TRIM23	TROAP	1
373	10174	TRIM23	SORBS3	1
373	10524	TRIM23	KAT5	1
373	10783	TRIM23	NEK6	1
373	10868	TRIM23	USP20	1
373	11144	TRIM23	DMC1	1
373	23650	TRIM23	TRIM29	2
373	23759	TRIM23	PPIL2	1
373	27129	TRIM23	HSPB7	1
373	27238	TRIM23	GPKOW	1
373	27247	TRIM23	NFU1	2
373	27343	TRIM23	POLL	1
373	50650	TRIM23	ARHGEF3	2
373	51073	TRIM23	MRPL4	1
373	51324	TRIM23	SPG21	1
373	51545	TRIM23	ZNF581	1
373	54540	TRIM23	FAM193B	1
373	54906	TRIM23	FAM208B	1
373	55138	TRIM23	FAM90A1	1
373	55246	TRIM23	CCDC25	1
373	55633	TRIM23	TBC1D22B	2
373	55738	TRIM23	ARFGAP1	1
373	55840	TRIM23	EAF2	1
373	55916	TRIM23	NXT2	1
373	56006	TRIM23	SMG9	1
373	57542	TRIM23	KLHL42	2
373	57616	TRIM23	TSHZ3	1
373	57639	TRIM23	CCDC146	1
373	57674	TRIM23	RNF213	1
373	58524	TRIM23	DMRT3	1
373	63898	TRIM23	SH2D4A	2
373	64170	TRIM23	CARD9	1
373	64396	TRIM23	GMCL1P1	1
373	65117	TRIM23	RSRC2	1
373	65265	TRIM23	C8orf33	1
373	79173	TRIM23	C19orf57	1
373	79446	TRIM23	WDR25	1
373	79696	TRIM23	ZC2HC1C	1
373	81567	TRIM23	TXNDC5	1
373	83541	TRIM23	FAM110A	1
373	83640	TRIM23	FAM103A1	1
373	84294	TRIM23	UTP23	1
373	84311	TRIM23	MRPL45	1
373	84832	TRIM23	ANKRD36BP1	1
373	84985	TRIM23	FAM83A	1
373	85302	TRIM23	FBF1	1
373	91647	TRIM23	ATPAF2	1
373	113115	TRIM23	MTFR2	1
373	115106	TRIM23	HAUS1	1
373	116349	TRIM23	C5orf55	1
373	118812	TRIM23	MORN4	2
373	147525	TRIM23	LINC00526	1
373	154865	TRIM23	IQUB	1
373	163050	TRIM23	ZNF564	2
373	166979	TRIM23	CDC20B	2
373	170954	TRIM23	PPP1R18	1
373	220136	TRIM23	CFAP53	1
373	255167	TRIM23	LINC01018	1
373	285093	TRIM23	RTP5	2
373	286499	TRIM23	FAM133A	1
373	287015	TRIM23	TRIM42	2
373	391257	TRIM23	SUMO1P1	1
373	644903	TRIM23	FLJ38668	1
373	729603	TRIM23	LOC729603	2
374	386682	AREG	KRTAP10-3	2
378	27111	ARF4	SDCBP2	2
379	79839	ARL4D	CCDC102B	1
387	396	RHOA	ARHGDIA	2
387	7205	RHOA	TRIP6	1
387	9750	RHOA	FAM65B	2
387	22806	RHOA	IKZF3	1
389	9750	RHOC	FAM65B	2
398	79036	ARHGDIG	KXD1	1
398	645455	ARHGDIG	CEP170P1	2
402	5147	ARL2	PDE6D	1
402	9094	ARL2	UNC119	1
402	23568	ARL2	ARL2BP	1
402	79718	ARL2	TBL1XR1	1
406	3091	ARNTL	HIF1A	1
407	10733	ARR3	PLK4	1
407	23099	ARR3	ZBTB43	1
407	84838	ARR3	ZNF496	1
408	5601	ARRB1	MAPK9	1
409	5601	ARRB2	MAPK9	2
410	9319	ARSA	TRIP13	1
435	435	ASL	ASL	1
435	55093	ASL	WDYHV1	1
439	444	ASNA1	ASPH	1
439	2882	ASNA1	GPX7	1
439	29923	ASNA1	HILPDA	1
440	140691	ASNS	TRIM69	2
440	253769	ASNS	WDR27	1
443	91703	ASPA	ACY3	1
445	445	ASS1	ASS1	1
463	125115	ZFHX3	KRT40	1
468	1054	ATF4	CEBPG	2
468	2800	ATF4	GOLGA1	2
468	2874	ATF4	GPS2	2
468	8419	ATF4	BFSP2	2
468	8945	ATF4	BTRC	2
468	10403	ATF4	NDC80	1
468	23641	ATF4	LDOC1	1
468	29903	ATF4	CCDC106	1
468	57761	ATF4	TRIB3	1
468	79571	ATF4	GCC1	1
468	390535	ATF4	GOLGA8EP	2
468	440321	ATF4	FLJ32679	2
475	755	ATOX1	C21orf2	1
475	9453	ATOX1	GGPS1	1
475	55007	ATOX1	FAM118A	2
496	23582	ATP4B	CCNDBP1	2
498	506	ATP5A1	ATP5B	1
506	91647	ATP5B	ATPAF2	1
516	140691	ATP5G1	TRIM69	1
526	6925	ATP6V1B2	TCF4	1
527	1896	ATP6V0C	EDA	1
527	4481	ATP6V0C	MSR1	1
527	5684	ATP6V0C	PSMA3	1
527	85027	ATP6V0C	SMIM3	2
528	528	ATP6V1C1	ATP6V1C1	1
539	3860	ATP5O	KRT13	1
539	3866	ATP5O	KRT15	1
539	7205	ATP5O	TRIP6	1
539	7541	ATP5O	ZBTB14	1
539	9240	ATP5O	PNMA1	2
539	10403	ATP5O	NDC80	1
539	22978	ATP5O	NT5C2	1
539	24144	ATP5O	TFIP11	1
539	64753	ATP5O	CCDC136	1
539	79618	ATP5O	HMBOX1	1
539	80321	ATP5O	CEP70	1
539	83878	ATP5O	USHBP1	1
539	145282	ATP5O	MIPOL1	1
570	390535	BAAT	GOLGA8EP	1
570	440321	BAAT	FLJ32679	1
570	100132565	BAAT	GOLGA8F	1
570	100132979	BAAT	GOLGA8DP	1
572	598	BAD	BCL2L1	1
573	3312	BAG1	HSPA8	1
573	5708	BAG1	PSMD2	1
573	5987	BAG1	TRIM27	2
577	253635	BAI3	GPATCH11	1
578	597	BAK1	BCL2A1	1
578	599	BAK1	BCL2L2	2
580	2801	BARD1	GOLGA2	1
580	7185	BARD1	TRAF1	2
580	10615	BARD1	SPAG5	1
580	10640	BARD1	EXOC5	1
580	23641	BARD1	LDOC1	1
580	64753	BARD1	CCDC136	1
580	80321	BARD1	CEP70	2
580	125115	BARD1	KRT40	1
580	171483	BARD1	FAM9B	1
583	4188	BBS2	MDFI	1
583	10197	BBS2	PSME3	1
583	11030	BBS2	RBPMS	1
585	4656	BBS4	MYOG	1
595	1019	CCND1	CDK4	1
595	1026	CCND1	CDKN1A	2
595	1027	CCND1	CDKN1B	1
597	638	BCL2A1	BIK	1
597	171483	BCL2A1	FAM9B	2
598	90427	BCL2L1	BMF	2
599	638	BCL2L2	BIK	2
599	6925	BCL2L2	TCF4	1
599	89885	BCL2L2	FATE1	2
